title,rating,description,removed_punc,tokenized_description
sugar rush christmas,tv-pg,"everything love ""sugar rush"" – holly jolly holiday twist – christmas-themed spin competitive baking.",everything love sugar rush  holly jolly holiday twist  christmasthemed spin competitive baking,"['everything', 'love', 'sugar', 'rush', 'holly', 'jolly', 'holiday', 'twist', 'christmasthemed', 'spin', 'competitive', 'baking']"
the accidental spy,tv-14,"nursing broken heart, specialist move london audition reality tv show unexpectedly turn real-life cartel drama.",nursing broken heart specialist move london audition reality tv show unexpectedly turn reallife cartel drama,"['nursing', 'broken', 'heart', 'specialist', 'move', 'london', 'audition', 'reality', 'tv', 'show', 'unexpectedly', 'turn', 'reallife', 'cartel', 'drama']"
the charming stepmom,tv-14,"quirky fashion student becomes nanny handsome widower’s three kids, experiencing series silly antic schemes.",quirky fashion student becomes nanny handsome widowers three kids experiencing series silly antic schemes,"['quirky', 'fashion', 'student', 'becomes', 'nanny', 'handsome', 'widowers', 'three', 'kids', 'experiencing', 'series', 'silly', 'antic', 'schemes']"
the island,tv-14,"colonel uncovers controversial intel government, make shocking discovery must decide whether reveal risk life.",colonel uncovers controversial intel government make shocking discovery must decide whether reveal risk life,"['colonel', 'uncovers', 'controversial', 'intel', 'government', 'make', 'shocking', 'discovery', 'must', 'decide', 'whether', 'reveal', 'risk', 'life']"
the movies that made us,tv-ma,"blockbuster brought u together gave u time lives. meet actors, director industry insider made happen.",blockbuster brought u together gave u time lives meet actors director industry insider made happen,"['blockbuster', 'brought', 'u', 'together', 'gave', 'u', 'time', 'lives', 'meet', 'actors', 'director', 'industry', 'insider', 'made', 'happen']"
holiday rush,tv-pg,widowed radio dj four spoiled kid need tighten belt pull together life luxury turn lean christmas.,widowed radio dj four spoiled kid need tighten belt pull together life luxury turn lean christmas,"['widowed', 'radio', 'dj', 'four', 'spoiled', 'kid', 'need', 'tighten', 'belt', 'pull', 'together', 'life', 'luxury', 'turn', 'lean', 'christmas']"
levius,tv-14,young levius rise rank brutal world metal boxing uncle's guidance. force outside ring eye him.,young levius rise rank brutal world metal boxing uncles guidance force outside ring eye him,"['young', 'levius', 'rise', 'rank', 'brutal', 'world', 'metal', 'boxing', 'uncles', 'guidance', 'force', 'outside', 'ring', 'eye', 'him']"
lugar de mulher,tv-ma,"four comedian brazil riff sexuality, politics, religion motherhood – set prove woman's place anywhere want be.",four comedian brazil riff sexuality politics religion motherhood  set prove womans place anywhere want be,"['four', 'comedian', 'brazil', 'riff', 'sexuality', 'politics', 'religion', 'motherhood', 'set', 'prove', 'womans', 'place', 'anywhere', 'want', 'be']"
merry happy whatever,tv-pg,"struggling la musician try win new girlfriend's gruff dad quirky, tight-knit sibling 10-day christmas visit philadelphia.",struggling la musician try win new girlfriends gruff dad quirky tightknit sibling day christmas visit philadelphia,"['struggling', 'la', 'musician', 'try', 'win', 'new', 'girlfriends', 'gruff', 'dad', 'quirky', 'tightknit', 'sibling', 'day', 'christmas', 'visit', 'philadelphia']"
mythomaniac,tv-ma,"burned taken granted, working mom suspect partner cheating, win back attentions, feigns medical diagnosis.",burned taken granted working mom suspect partner cheating win back attentions feigns medical diagnosis,"['burned', 'taken', 'granted', 'working', 'mom', 'suspect', 'partner', 'cheating', 'win', 'back', 'attentions', 'feigns', 'medical', 'diagnosis']"
the score,r,"ready-to-retire safecracker nick, flamboyant fence max talented volatile thief jackie team rob montreal custom house.",readytoretire safecracker nick flamboyant fence max talented volatile thief jackie team rob montreal custom house,"['readytoretire', 'safecracker', 'nick', 'flamboyant', 'fence', 'max', 'talented', 'volatile', 'thief', 'jackie', 'team', 'rob', 'montreal', 'custom', 'house']"
broken,tv-14,investigative docuseries show negligence deceit production marketing popular consumer item result dire outcomes.,investigative docuseries show negligence deceit production marketing popular consumer item result dire outcomes,"['investigative', 'docuseries', 'show', 'negligence', 'deceit', 'production', 'marketing', 'popular', 'consumer', 'item', 'result', 'dire', 'outcomes']"
defiance,r,"action-packed drama based extraordinary true story, four brother protect 1,000 jewish refugee world war ii.",actionpacked drama based extraordinary true story four brother protect  jewish refugee world war ii,"['actionpacked', 'drama', 'based', 'extraordinary', 'true', 'story', 'four', 'brother', 'protect', 'jewish', 'refugee', 'world', 'war', 'ii']"
evvarikee cheppoddu,tv-14,"caste difference throw wrench otherwise blossoming relationship, couple must somehow convince girl’s father let marry.",caste difference throw wrench otherwise blossoming relationship couple must somehow convince girls father let marry,"['caste', 'difference', 'throw', 'wrench', 'otherwise', 'blossoming', 'relationship', 'couple', 'must', 'somehow', 'convince', 'girls', 'father', 'let', 'marry']"
little singham: mahabali,tv-y7,"journey back time ancient city mirchigadh, little singham vies title ultimate warrior fight zombie king’s army.",journey back time ancient city mirchigadh little singham vies title ultimate warrior fight zombie kings army,"['journey', 'back', 'time', 'ancient', 'city', 'mirchigadh', 'little', 'singham', 'vies', 'title', 'ultimate', 'warrior', 'fight', 'zombie', 'kings', 'army']"
the body remembers when the world broke open,tv-ma,"traumatic event, two indigenous woman vancouver brought together form deep bond despite leading different lives.",traumatic event two indigenous woman vancouver brought together form deep bond despite leading different lives,"['traumatic', 'event', 'two', 'indigenous', 'woman', 'vancouver', 'brought', 'together', 'form', 'deep', 'bond', 'despite', 'leading', 'different', 'lives']"
the irishman,r,hit man frank sheeran look back secret kept loyal member bufalino crime family acclaimed film martin scorsese.,hit man frank sheeran look back secret kept loyal member bufalino crime family acclaimed film martin scorsese,"['hit', 'man', 'frank', 'sheeran', 'look', 'back', 'secret', 'kept', 'loyal', 'member', 'bufalino', 'crime', 'family', 'acclaimed', 'film', 'martin', 'scorsese']"
mike birbiglia: the new one,tv-ma,comedian mike birbiglia hit broadway hilarious yet profound one-man show recount emotional physical journey parenthood.,comedian mike birbiglia hit broadway hilarious yet profound oneman show recount emotional physical journey parenthood,"['comedian', 'mike', 'birbiglia', 'hit', 'broadway', 'hilarious', 'yet', 'profound', 'oneman', 'show', 'recount', 'emotional', 'physical', 'journey', 'parenthood']"
super monsters save christmas,tv-y,"christmas eve pitchfork pines, super monster joining force deck halls, find santa's missing reindeer save holiday!",christmas eve pitchfork pines super monster joining force deck halls find santas missing reindeer save holiday,"['christmas', 'eve', 'pitchfork', 'pines', 'super', 'monster', 'joining', 'force', 'deck', 'halls', 'find', 'santas', 'missing', 'reindeer', 'save', 'holiday']"
the crime,tv-14,peaceful life resident inhabiting breathtaking seaside town shaken following series macabre crimes.,peaceful life resident inhabiting breathtaking seaside town shaken following series macabre crimes,"['peaceful', 'life', 'resident', 'inhabiting', 'breathtaking', 'seaside', 'town', 'shaken', 'following', 'series', 'macabre', 'crimes']"
true: winter wishes,tv-y,"ice crystal frosty realm freezing everything rainbow kingdom, citizen too! true save winter wishfest – friends?",ice crystal frosty realm freezing everything rainbow kingdom citizen too true save winter wishfest  friends,"['ice', 'crystal', 'frosty', 'realm', 'freezing', 'everything', 'rainbow', 'kingdom', 'citizen', 'too', 'true', 'save', 'winter', 'wishfest', 'friends']"
zona rosa,tv-ma,assortment talent take stage night honest stand-up featuring four mexico's funniest lgbtq comedians.,assortment talent take stage night honest standup featuring four mexicos funniest lgbtq comedians,"['assortment', 'talent', 'take', 'stage', 'night', 'honest', 'standup', 'featuring', 'four', 'mexicos', 'funniest', 'lgbtq', 'comedians']"
dirty john,tv-14,businesswoman debra newell's life unravels fall lie manipulation con man john meehan. based true-crime podcast.,businesswoman debra newells life unravels fall lie manipulation con man john meehan based truecrime podcast,"['businesswoman', 'debra', 'newells', 'life', 'unravels', 'fall', 'lie', 'manipulation', 'con', 'man', 'john', 'meehan', 'based', 'truecrime', 'podcast']"
pranaam,tv-ma,"aspiring fulfill father’s dream become civil service officer, young man loses way upon becoming entangled criminal lynchpin.",aspiring fulfill fathers dream become civil service officer young man loses way upon becoming entangled criminal lynchpin,"['aspiring', 'fulfill', 'fathers', 'dream', 'become', 'civil', 'service', 'officer', 'young', 'man', 'loses', 'way', 'upon', 'becoming', 'entangled', 'criminal', 'lynchpin']"
what the f* is going on?,tv-ma,"featuring extensive interviews, documentary take critical look gender inequality spain feminist movement aim shift reality.",featuring extensive interviews documentary take critical look gender inequality spain feminist movement aim shift reality,"['featuring', 'extensive', 'interviews', 'documentary', 'take', 'critical', 'look', 'gender', 'inequality', 'spain', 'feminist', 'movement', 'aim', 'shift', 'reality']"
awake,tv-ma,"accident leaf recollection is, man becomes prime suspect search serial killer targeting young women.",accident leaf recollection is man becomes prime suspect search serial killer targeting young women,"['accident', 'leaf', 'recollection', 'is', 'man', 'becomes', 'prime', 'suspect', 'search', 'serial', 'killer', 'targeting', 'young', 'women']"
popeye,pg,"storm wreck ship, super-strong sailor popeye wash ashore wind rooming oyl household, meet olive.",storm wreck ship superstrong sailor popeye wash ashore wind rooming oyl household meet olive,"['storm', 'wreck', 'ship', 'superstrong', 'sailor', 'popeye', 'wash', 'ashore', 'wind', 'rooming', 'oyl', 'household', 'meet', 'olive']"
shot caller,r,"trying go straight, once-successful businessman fresh prison forced orchestrate brazen crime risk family.",trying go straight oncesuccessful businessman fresh prison forced orchestrate brazen crime risk family,"['trying', 'go', 'straight', 'oncesuccessful', 'businessman', 'fresh', 'prison', 'forced', 'orchestrate', 'brazen', 'crime', 'risk', 'family']"
strong girl bong-soon,tv-14,"born supernatural strength, bong-soon fight evil procures justice getting tangled love triangle ceo bos cop crush.",born supernatural strength bongsoon fight evil procures justice getting tangled love triangle ceo bos cop crush,"['born', 'supernatural', 'strength', 'bongsoon', 'fight', 'evil', 'procures', 'justice', 'getting', 'tangled', 'love', 'triangle', 'ceo', 'bos', 'cop', 'crush']"
charlotte's web,g,"follow adventure wilbur pig, templeton rat charlotte spider animated musical version e.b. white's timeless story.",follow adventure wilbur pig templeton rat charlotte spider animated musical version eb whites timeless story,"['follow', 'adventure', 'wilbur', 'pig', 'templeton', 'rat', 'charlotte', 'spider', 'animated', 'musical', 'version', 'eb', 'whites', 'timeless', 'story']"
end of watch,r,"officer taylor zavala patrol street south central los angeles, area city ruled gang riddled drug violence.",officer taylor zavala patrol street south central los angeles area city ruled gang riddled drug violence,"['officer', 'taylor', 'zavala', 'patrol', 'street', 'south', 'central', 'los', 'angeles', 'area', 'city', 'ruled', 'gang', 'riddled', 'drug', 'violence']"
hamburger hill,r,vietnam war's horror come brutally life eye american soldier trying take heavily fortified hill vietcong control.,vietnam wars horror come brutally life eye american soldier trying take heavily fortified hill vietcong control,"['vietnam', 'wars', 'horror', 'come', 'brutally', 'life', 'eye', 'american', 'soldier', 'trying', 'take', 'heavily', 'fortified', 'hill', 'vietcong', 'control']"
once upon a time in lingjian mountain,tv-pg,"nine continent face crisis, young disciple join spirit blade sect come tutelage temperamental sage.",nine continent face crisis young disciple join spirit blade sect come tutelage temperamental sage,"['nine', 'continent', 'face', 'crisis', 'young', 'disciple', 'join', 'spirit', 'blade', 'sect', 'come', 'tutelage', 'temperamental', 'sage']"
the time machine,pg-13,"based h.g. well classic, adventure follows scientist inventor who's determined prove doubter time travel possible.",based hg well classic adventure follows scientist inventor whos determined prove doubter time travel possible,"['based', 'hg', 'well', 'classic', 'adventure', 'follows', 'scientist', 'inventor', 'whos', 'determined', 'prove', 'doubter', 'time', 'travel', 'possible']"
brother,tv-ma,"thrust violent home brutal custody center, teenager learns navigate tough new reality forge unlikely alliance survive.",thrust violent home brutal custody center teenager learns navigate tough new reality forge unlikely alliance survive,"['thrust', 'violent', 'home', 'brutal', 'custody', 'center', 'teenager', 'learns', 'navigate', 'tough', 'new', 'reality', 'forge', 'unlikely', 'alliance', 'survive']"
dino girl gauko,tv-y7-fv,"get angry, middle schooler naoko turn fierce dinosaur gauko! thanks friends, alien more, life full wacky incidents.",get angry middle schooler naoko turn fierce dinosaur gauko thanks friends alien more life full wacky incidents,"['get', 'angry', 'middle', 'schooler', 'naoko', 'turn', 'fierce', 'dinosaur', 'gauko', 'thanks', 'friends', 'alien', 'more', 'life', 'full', 'wacky', 'incidents']"
dolly parton's heartstrings,tv-14,"eight story celebrating family, faith, love forgiveness come life series inspired dolly parton's iconic country music catalog.",eight story celebrating family faith love forgiveness come life series inspired dolly partons iconic country music catalog,"['eight', 'story', 'celebrating', 'family', 'faith', 'love', 'forgiveness', 'come', 'life', 'series', 'inspired', 'dolly', 'partons', 'iconic', 'country', 'music', 'catalog']"
girls und panzer der film,tv-14,girl ōarai high must face formidable university team fierce tank battle avoid closure school.,girl arai high must face formidable university team fierce tank battle avoid closure school,"['girl', 'arai', 'high', 'must', 'face', 'formidable', 'university', 'team', 'fierce', 'tank', 'battle', 'avoid', 'closure', 'school']"
high seas,tv-ma,two sister discover disturbing family secret string mysterious death occur luxury ship traveling spain brazil 1940s.,two sister discover disturbing family secret string mysterious death occur luxury ship traveling spain brazil s,"['two', 'sister', 'discover', 'disturbing', 'family', 'secret', 'string', 'mysterious', 'death', 'occur', 'luxury', 'ship', 'traveling', 'spain', 'brazil', 's']"
mike birbiglia: what i should have said was nothing: tales from my secret public journal,tv-14,mike birbiglia performs live concert special feature riotous selection unique insight observation culled diary.,mike birbiglia performs live concert special feature riotous selection unique insight observation culled diary,"['mike', 'birbiglia', 'performs', 'live', 'concert', 'special', 'feature', 'riotous', 'selection', 'unique', 'insight', 'observation', 'culled', 'diary']"
nailed it! holiday!,tv-pg,"""nailed it!"" holiday special waiting for, missing ingredients, impossible asks dessert look delightfully sad.",nailed it holiday special waiting for missing ingredients impossible asks dessert look delightfully sad,"['nailed', 'it', 'holiday', 'special', 'waiting', 'for', 'missing', 'ingredients', 'impossible', 'asks', 'dessert', 'look', 'delightfully', 'sad']"
narcoworld: dope stories,tv-ma,"ride along police officer drug smuggler go toe-to-toe, trying outwit locale around world.",ride along police officer drug smuggler go toetotoe trying outwit locale around world,"['ride', 'along', 'police', 'officer', 'drug', 'smuggler', 'go', 'toetotoe', 'trying', 'outwit', 'locale', 'around', 'world']"
nobody's looking,tv-ma,"new guardian ""angelus"" uncovers secret behind angelus system's bureaucracy lead break official rule protecting humans.",new guardian angelus uncovers secret behind angelus systems bureaucracy lead break official rule protecting humans,"['new', 'guardian', 'angelus', 'uncovers', 'secret', 'behind', 'angelus', 'systems', 'bureaucracy', 'lead', 'break', 'official', 'rule', 'protecting', 'humans']"
shelby american,tv-14,"featuring interview vintage footage, documentary trace american icon carroll shelby's life reinvention farmer racer entrepreneur.",featuring interview vintage footage documentary trace american icon carroll shelbys life reinvention farmer racer entrepreneur,"['featuring', 'interview', 'vintage', 'footage', 'documentary', 'trace', 'american', 'icon', 'carroll', 'shelbys', 'life', 'reinvention', 'farmer', 'racer', 'entrepreneur']"
singapore social,tv-ma,"peer life young singaporean defy expectation traverse tricky terrain career, romance family.",peer life young singaporean defy expectation traverse tricky terrain career romance family,"['peer', 'life', 'young', 'singaporean', 'defy', 'expectation', 'traverse', 'tricky', 'terrain', 'career', 'romance', 'family']"
the dragon prince,tv-y7-fv,extraordinary discovery inspires two human prince elven assassin team epic quest bring peace warring lands.,extraordinary discovery inspires two human prince elven assassin team epic quest bring peace warring lands,"['extraordinary', 'discovery', 'inspires', 'two', 'human', 'prince', 'elven', 'assassin', 'team', 'epic', 'quest', 'bring', 'peace', 'warring', 'lands']"
trolls: the beat goes on!,tv-g,"queen poppy welcome new time peace troll village parties, sport holiday celebrations, branch try fun-loving.",queen poppy welcome new time peace troll village parties sport holiday celebrations branch try funloving,"['queen', 'poppy', 'welcome', 'new', 'time', 'peace', 'troll', 'village', 'parties', 'sport', 'holiday', 'celebrations', 'branch', 'try', 'funloving']"
k-19: the widowmaker,pg-13,"board russia's first nuclear ballistic submarine, capt. vostrikov must race time prevent chernobyl-like explosion.",board russias first nuclear ballistic submarine capt vostrikov must race time prevent chernobyllike explosion,"['board', 'russias', 'first', 'nuclear', 'ballistic', 'submarine', 'capt', 'vostrikov', 'must', 'race', 'time', 'prevent', 'chernobyllike', 'explosion']"
mortel,tv-ma,"making deal supernatural figure, two high schoolers emerge extraordinary power join force solve murder.",making deal supernatural figure two high schoolers emerge extraordinary power join force solve murder,"['making', 'deal', 'supernatural', 'figure', 'two', 'high', 'schoolers', 'emerge', 'extraordinary', 'power', 'join', 'force', 'solve', 'murder']"
the knight before christmas,tv-14,"medieval magic sends 14th-century knight modern-day ohio, fall high school science teacher who's disillusioned love.",medieval magic sends thcentury knight modernday ohio fall high school science teacher whos disillusioned love,"['medieval', 'magic', 'sends', 'thcentury', 'knight', 'modernday', 'ohio', 'fall', 'high', 'school', 'science', 'teacher', 'whos', 'disillusioned', 'love']"
adore,r,"lifelong friend roz lil fall love other's teenage sons, must carry affair relative secrecy.",lifelong friend roz lil fall love others teenage sons must carry affair relative secrecy,"['lifelong', 'friend', 'roz', 'lil', 'fall', 'love', 'others', 'teenage', 'sons', 'must', 'carry', 'affair', 'relative', 'secrecy']"
bangkok buddies,tv-14,"living roof, group unabashed friend wrestle everyday issue financial woe shared quarter romantic misfires.",living roof group unabashed friend wrestle everyday issue financial woe shared quarter romantic misfires,"['living', 'roof', 'group', 'unabashed', 'friend', 'wrestle', 'everyday', 'issue', 'financial', 'woe', 'shared', 'quarter', 'romantic', 'misfires']"
be somebody,pg,"escape stress fame, teen pop star jordan go incognito small town, form special bond high school art student emily.",escape stress fame teen pop star jordan go incognito small town form special bond high school art student emily,"['escape', 'stress', 'fame', 'teen', 'pop', 'star', 'jordan', 'go', 'incognito', 'small', 'town', 'form', 'special', 'bond', 'high', 'school', 'art', 'student', 'emily']"
beavis and butt-head do america,pg-13,"realizing boob tube gone, beavis butt-head set expedition take la vega nation's capital.",realizing boob tube gone beavis butthead set expedition take la vega nations capital,"['realizing', 'boob', 'tube', 'gone', 'beavis', 'butthead', 'set', 'expedition', 'take', 'la', 'vega', 'nations', 'capital']"
bebe's kids,pg-13,"ladies' man robin meet jamika, fall head heels, greets four surprises: son girlfriend bebe's three kids.",ladies man robin meet jamika fall head heels greets four surprises son girlfriend bebes three kids,"['ladies', 'man', 'robin', 'meet', 'jamika', 'fall', 'head', 'heels', 'greets', 'four', 'surprises', 'son', 'girlfriend', 'bebes', 'three', 'kids']"
"bikram: yogi, guru, predator",tv-ma,documentary chart rise fall hot yoga founder bikram choudhury global empire born disturbing revelation come light.,documentary chart rise fall hot yoga founder bikram choudhury global empire born disturbing revelation come light,"['documentary', 'chart', 'rise', 'fall', 'hot', 'yoga', 'founder', 'bikram', 'choudhury', 'global', 'empire', 'born', 'disturbing', 'revelation', 'come', 'light']"
black snake moan,r,"lazarus find rae beaten near death, act father figure help redeem her. saving anyone, lazarus must face demons.",lazarus find rae beaten near death act father figure help redeem her saving anyone lazarus must face demons,"['lazarus', 'find', 'rae', 'beaten', 'near', 'death', 'act', 'father', 'figure', 'help', 'redeem', 'her', 'saving', 'anyone', 'lazarus', 'must', 'face', 'demons']"
carriers,pg-13,"lethal virus spread globally, four friend seek reputed plague-free haven. avoiding infected, traveler turn one another.",lethal virus spread globally four friend seek reputed plaguefree haven avoiding infected traveler turn one another,"['lethal', 'virus', 'spread', 'globally', 'four', 'friend', 'seek', 'reputed', 'plaguefree', 'haven', 'avoiding', 'infected', 'traveler', 'turn', 'one', 'another']"
dorasaani,tv-14,village landlord's daughter educated commoner must decide budding forbidden love worth resisting repressive social hierarchy.,village landlords daughter educated commoner must decide budding forbidden love worth resisting repressive social hierarchy,"['village', 'landlords', 'daughter', 'educated', 'commoner', 'must', 'decide', 'budding', 'forbidden', 'love', 'worth', 'resisting', 'repressive', 'social', 'hierarchy']"
dream/killer,tv-ma,riveting crime doc follows bill confronts america's broken judicial system son falsely sentenced 40 year prison.,riveting crime doc follows bill confronts americas broken judicial system son falsely sentenced  year prison,"['riveting', 'crime', 'doc', 'follows', 'bill', 'confronts', 'americas', 'broken', 'judicial', 'system', 'son', 'falsely', 'sentenced', 'year', 'prison']"
evolution,pg-13,"two community college geology professor discover microscopic alien life-forms meteorite, military government become involved.",two community college geology professor discover microscopic alien lifeforms meteorite military government become involved,"['two', 'community', 'college', 'geology', 'professor', 'discover', 'microscopic', 'alien', 'lifeforms', 'meteorite', 'military', 'government', 'become', 'involved']"
eye for an eye,r,grieving mother karen mccann take justice hand man raped murdered daughter freed technicality.,grieving mother karen mccann take justice hand man raped murdered daughter freed technicality,"['grieving', 'mother', 'karen', 'mccann', 'take', 'justice', 'hand', 'man', 'raped', 'murdered', 'daughter', 'freed', 'technicality']"
holiday secrets,tv-ma,christmas reunion becomes gateway past three-part series explores intimate complexity one family's history.,christmas reunion becomes gateway past threepart series explores intimate complexity one familys history,"['christmas', 'reunion', 'becomes', 'gateway', 'past', 'threepart', 'series', 'explores', 'intimate', 'complexity', 'one', 'familys', 'history']"
hot rod,pg-13,andy samberg star comedy accident-prone daredevil who's determined jump 15 bus moped impress abusive stepfather.,andy samberg star comedy accidentprone daredevil whos determined jump  bus moped impress abusive stepfather,"['andy', 'samberg', 'star', 'comedy', 'accidentprone', 'daredevil', 'whos', 'determined', 'jump', 'bus', 'moped', 'impress', 'abusive', 'stepfather']"
it takes two,pg,"olsen twin put cute new spin mark twain's classic tale ""the prince pauper,"" playing identical 9-year-olds different backgrounds: orphaned amanda wealthy alyssa.",olsen twin put cute new spin mark twains classic tale the prince pauper playing identical yearolds different backgrounds orphaned amanda wealthy alyssa,"['olsen', 'twin', 'put', 'cute', 'new', 'spin', 'mark', 'twains', 'classic', 'tale', 'the', 'prince', 'pauper', 'playing', 'identical', 'yearolds', 'different', 'backgrounds', 'orphaned', 'amanda', 'wealthy', 'alyssa']"
"lorena, light-footed woman",tv-g,lorena ramírez mexico's rarámuri community life pastoral life – except strap sandal compete ultramarathon runner.,lorena ramrez mexicos rarmuri community life pastoral life  except strap sandal compete ultramarathon runner,"['lorena', 'ramrez', 'mexicos', 'rarmuri', 'community', 'life', 'pastoral', 'life', 'except', 'strap', 'sandal', 'compete', 'ultramarathon', 'runner']"
"love, rosie",r,"years, come go other's life, childhood pal rosie alex struggle resolve lasting, intimate bond them.",years come go others life childhood pal rosie alex struggle resolve lasting intimate bond them,"['years', 'come', 'go', 'others', 'life', 'childhood', 'pal', 'rosie', 'alex', 'struggle', 'resolve', 'lasting', 'intimate', 'bond', 'them']"
mallesham,tv-pg,"self-trained engineer risk debt, love reputation quest improve grueling work condition mother weaving community.",selftrained engineer risk debt love reputation quest improve grueling work condition mother weaving community,"['selftrained', 'engineer', 'risk', 'debt', 'love', 'reputation', 'quest', 'improve', 'grueling', 'work', 'condition', 'mother', 'weaving', 'community']"
once upon a time in the west,pg-13,"epic spaghetti western, flinty gunslinger hired railroad tycoon kill anyone standing way trans-american iron horse.",epic spaghetti western flinty gunslinger hired railroad tycoon kill anyone standing way transamerican iron horse,"['epic', 'spaghetti', 'western', 'flinty', 'gunslinger', 'hired', 'railroad', 'tycoon', 'kill', 'anyone', 'standing', 'way', 'transamerican', 'iron', 'horse']"
she's out of my league,r,"average-guy kirk start dating drop-dead-gorgeous molly, friend see lasting, kirk everything avoid losing molly.",averageguy kirk start dating dropdeadgorgeous molly friend see lasting kirk everything avoid losing molly,"['averageguy', 'kirk', 'start', 'dating', 'dropdeadgorgeous', 'molly', 'friend', 'see', 'lasting', 'kirk', 'everything', 'avoid', 'losing', 'molly']"
superstar,pg-13,socially awkward catholic schoolgirl vow win dreamy classmate’s affection taking first prize upcoming talent show.,socially awkward catholic schoolgirl vow win dreamy classmates affection taking first prize upcoming talent show,"['socially', 'awkward', 'catholic', 'schoolgirl', 'vow', 'win', 'dreamy', 'classmates', 'affection', 'taking', 'first', 'prize', 'upcoming', 'talent', 'show']"
the adventures of tintin,pg,"3-d motion capture adapts george remi's classic comic strip adventure fearless young journalist tintin trusty dog, snowy.",d motion capture adapts george remis classic comic strip adventure fearless young journalist tintin trusty dog snowy,"['d', 'motion', 'capture', 'adapts', 'george', 'remis', 'classic', 'comic', 'strip', 'adventure', 'fearless', 'young', 'journalist', 'tintin', 'trusty', 'dog', 'snowy']"
